tool	community	rank	metric	value	tool2
kraken	marine6	family	Bray-Curtis distance	0.208253286205377	Kraken2
kraken	marine6	genus	Bray-Curtis distance	0.249215247049977	Kraken2
kraken	marine6	species	Bray-Curtis distance	0.284461774708258	Kraken2
sourmash	marine6	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine6	phylum	Bray-Curtis distance	0.0931565818661979	sourmash
sourmash	marine6	class	Bray-Curtis distance	0.0985251205517094	sourmash
sourmash	marine6	order	Bray-Curtis distance	0.168058510703001	sourmash
sourmash	marine6	family	Bray-Curtis distance	0.206722813232628	sourmash
sourmash	marine6	genus	Bray-Curtis distance	0.261044780837896	sourmash
sourmash	marine6	species	Bray-Curtis distance	0.449174230542875	sourmash
singlem	marine7	kingdom	Bray-Curtis distance	0.000744062734900381	SingleM
singlem	marine7	phylum	Bray-Curtis distance	0.0137132003321967	SingleM
singlem	marine7	class	Bray-Curtis distance	0.0200512425465292	SingleM
singlem	marine7	order	Bray-Curtis distance	0.0311719030050835	SingleM
singlem	marine7	family	Bray-Curtis distance	0.0379654481323975	SingleM
singlem	marine7	genus	Bray-Curtis distance	0.0566611916928552	SingleM
singlem	marine7	species	Bray-Curtis distance	0.116065118517384	SingleM
metaphlan	marine7	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine7	phylum	Bray-Curtis distance	0.0591727078206836	MetaPhlAn
metaphlan	marine7	class	Bray-Curtis distance	0.0693852386995038	MetaPhlAn
metaphlan	marine7	order	Bray-Curtis distance	0.111712557663237	MetaPhlAn
metaphlan	marine7	family	Bray-Curtis distance	0.131820752741604	MetaPhlAn
metaphlan	marine7	genus	Bray-Curtis distance	0.153616257872943	MetaPhlAn
metaphlan	marine7	species	Bray-Curtis distance	0.195362299662417	MetaPhlAn
motus	marine7	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine7	phylum	Bray-Curtis distance	0.0955105322873417	mOTUs
motus	marine7	class	Bray-Curtis distance	0.113536401248492	mOTUs
motus	marine7	order	Bray-Curtis distance	0.149025748923894	mOTUs
motus	marine7	family	Bray-Curtis distance	0.168247535490725	mOTUs
motus	marine7	genus	Bray-Curtis distance	0.2130488918175	mOTUs
motus	marine7	species	Bray-Curtis distance	0.383714445220097	mOTUs
kraken	marine7	kingdom	Bray-Curtis distance	0.000110000000000049	Kraken2
kraken	marine7	phylum	Bray-Curtis distance	0.108617306945941	Kraken2
kraken	marine7	class	Bray-Curtis distance	0.120996244087382	Kraken2
kraken	marine7	order	Bray-Curtis distance	0.16308443530505	Kraken2
kraken	marine7	family	Bray-Curtis distance	0.180326665560596	Kraken2
kraken	marine7	genus	Bray-Curtis distance	0.211594897521198	Kraken2
kraken	marine7	species	Bray-Curtis distance	0.23310111080626	Kraken2
sourmash	marine7	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine7	phylum	Bray-Curtis distance	0.0876139826590738	sourmash
sourmash	marine7	class	Bray-Curtis distance	0.0897280573988252	sourmash
sourmash	marine7	order	Bray-Curtis distance	0.134977698650833	sourmash
sourmash	marine7	family	Bray-Curtis distance	0.178217858719319	sourmash
sourmash	marine7	genus	Bray-Curtis distance	0.231299914423542	sourmash
sourmash	marine7	species	Bray-Curtis distance	0.385908059177923	sourmash
singlem	marine8	kingdom	Bray-Curtis distance	0.00145127439257341	SingleM
singlem	marine8	phylum	Bray-Curtis distance	0.0187862844194172	SingleM
singlem	marine8	class	Bray-Curtis distance	0.0303237987031722	SingleM
singlem	marine8	order	Bray-Curtis distance	0.0398330960146652	SingleM
singlem	marine8	family	Bray-Curtis distance	0.0504240852997988	SingleM
singlem	marine8	genus	Bray-Curtis distance	0.0623707731040335	SingleM
singlem	marine8	species	Bray-Curtis distance	0.143345610909515	SingleM
metaphlan	marine8	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine8	phylum	Bray-Curtis distance	0.0722157735664354	MetaPhlAn
metaphlan	marine8	class	Bray-Curtis distance	0.0895649642832244	MetaPhlAn
metaphlan	marine8	order	Bray-Curtis distance	0.134249455822323	MetaPhlAn
metaphlan	marine8	family	Bray-Curtis distance	0.170687083153898	MetaPhlAn
metaphlan	marine8	genus	Bray-Curtis distance	0.196002197524754	MetaPhlAn
metaphlan	marine8	species	Bray-Curtis distance	0.290062661178124	MetaPhlAn
motus	marine8	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine8	phylum	Bray-Curtis distance	0.128135556362943	mOTUs
motus	marine8	class	Bray-Curtis distance	0.144611261785642	mOTUs
motus	marine8	order	Bray-Curtis distance	0.169988133577689	mOTUs
motus	marine8	family	Bray-Curtis distance	0.187367503032501	mOTUs
motus	marine8	genus	Bray-Curtis distance	0.221666625601104	mOTUs
motus	marine8	species	Bray-Curtis distance	0.42254477554684	mOTUs
kraken	marine8	kingdom	Bray-Curtis distance	9.00000000000017e-05	Kraken2
kraken	marine8	phylum	Bray-Curtis distance	0.155363367452188	Kraken2
kraken	marine8	class	Bray-Curtis distance	0.170484682260183	Kraken2
kraken	marine8	order	Bray-Curtis distance	0.201899935289181	Kraken2
kraken	marine8	family	Bray-Curtis distance	0.216633840199817	Kraken2
kraken	marine8	genus	Bray-Curtis distance	0.261292236257198	Kraken2
kraken	marine8	species	Bray-Curtis distance	0.308691017480513	Kraken2
sourmash	marine8	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine8	phylum	Bray-Curtis distance	0.148959030694385	sourmash
sourmash	marine8	class	Bray-Curtis distance	0.167389096777171	sourmash
sourmash	marine8	order	Bray-Curtis distance	0.200324405141913	sourmash
sourmash	marine8	family	Bray-Curtis distance	0.222748349556434	sourmash
sourmash	marine8	genus	Bray-Curtis distance	0.253295126709287	sourmash
sourmash	marine8	species	Bray-Curtis distance	0.385372714374826	sourmash
singlem	marine9	kingdom	Bray-Curtis distance	0.00159911202250044	SingleM
singlem	marine9	phylum	Bray-Curtis distance	0.0430300195508651	SingleM
singlem	marine9	class	Bray-Curtis distance	0.0485902042477144	SingleM
singlem	marine9	order	Bray-Curtis distance	0.0588066568559634	SingleM
singlem	marine9	family	Bray-Curtis distance	0.0644522406870479	SingleM
singlem	marine9	genus	Bray-Curtis distance	0.082043330078453	SingleM
singlem	marine9	species	Bray-Curtis distance	0.16184599093648	SingleM
metaphlan	marine9	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine9	phylum	Bray-Curtis distance	0.102627266403205	MetaPhlAn
metaphlan	marine9	class	Bray-Curtis distance	0.123988730800633	MetaPhlAn
metaphlan	marine9	order	Bray-Curtis distance	0.193639955372953	MetaPhlAn
metaphlan	marine9	family	Bray-Curtis distance	0.221689985104554	MetaPhlAn
metaphlan	marine9	genus	Bray-Curtis distance	0.246980467931824	MetaPhlAn
metaphlan	marine9	species	Bray-Curtis distance	0.330648319585984	MetaPhlAn
motus	marine9	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine9	phylum	Bray-Curtis distance	0.0993625800093781	mOTUs
motus	marine9	class	Bray-Curtis distance	0.119926682940192	mOTUs
motus	marine9	order	Bray-Curtis distance	0.184238811181686	mOTUs
motus	marine9	family	Bray-Curtis distance	0.215222106178129	mOTUs
motus	marine9	genus	Bray-Curtis distance	0.250102582868257	mOTUs
motus	marine9	species	Bray-Curtis distance	0.500020072343692	mOTUs
kraken	marine9	kingdom	Bray-Curtis distance	0.000100000000000026	Kraken2
kraken	marine9	phylum	Bray-Curtis distance	0.123705908003465	Kraken2
kraken	marine9	class	Bray-Curtis distance	0.136456368518515	Kraken2
kraken	marine9	order	Bray-Curtis distance	0.193129838139234	Kraken2
kraken	marine9	family	Bray-Curtis distance	0.209601350616143	Kraken2
kraken	marine9	genus	Bray-Curtis distance	0.237779965253129	Kraken2
kraken	marine9	species	Bray-Curtis distance	0.281756318618778	Kraken2
sourmash	marine9	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine9	phylum	Bray-Curtis distance	0.099649598400682	sourmash
sourmash	marine9	class	Bray-Curtis distance	0.113713191686912	sourmash
sourmash	marine9	order	Bray-Curtis distance	0.151999381464783	sourmash
sourmash	marine9	family	Bray-Curtis distance	0.217483930922364	sourmash
sourmash	marine9	genus	Bray-Curtis distance	0.257906809410145	sourmash
sourmash	marine9	species	Bray-Curtis distance	0.443185455119195	sourmash
